system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water,QA_snow
66,0.7069000000000001,-36.47541226279027,-6.88830401516274,goodQA,highest,low,no,land,no
67,0.6706000000000001,-36.46635367054651,-6.88830401516274,goodQA,highest,low,no,land,no
68,0.7504000000000001,-36.45729507830276,-6.88830401516274,goodQA,highest,low,no,land,no
69,0.8106,-36.448236486059,-6.88830401516274,goodQA,highest,low,no,land,no
70,0.8084,-36.439177893815234,-6.88830401516274,goodQA,highest,low,no,land,no
71,0.7771,-36.43011930157148,-6.88830401516274,goodQA,highest,low,no,land,no
72,0.7957000000000001,-36.42106070932772,-6.88830401516274,goodQA,highest,low,no,land,no
73,0.8015,-36.412002117083965,-6.88830401516274,goodQA,highest,low,no,land,no
74,0.6514,-36.402943524840204,-6.88830401516274,goodQA,highest,low,no,land,no
75,0.6947,-36.39388493259644,-6.88830401516274,goodQA,highest,low,no,land,no
76,0.5907,-36.38482634035268,-6.88830401516274,goodQA,highest,low,no,land,no
77,0.7227,-36.50328065946575,-6.8972972210853385,goodQA,highest,low,no,land,no
78,0.6302,-36.49422189533933,-6.8972972210853385,goodQA,highest,low,no,land,no
79,0.6269,-36.48516313121292,-6.8972972210853385,goodQA,highest,low,no,land,no
80,0.7131000000000001,-36.47610436708651,-6.8972972210853385,goodQA,highest,low,no,land,no
81,0.6955,-36.4670456029601,-6.8972972210853385,goodQA,highest,low,no,land,no
82,0.7879,-36.45798683883369,-6.8972972210853385,goodQA,highest,low,no,land,no
83,0.7905000000000001,-36.44892807470728,-6.8972972210853385,goodQA,highest,low,no,land,no
84,0.8042,-36.43986931058087,-6.8972972210853385,goodQA,highest,low,no,land,no
85,0.7443000000000001,-36.43081054645446,-6.8972972210853385,goodQA,highest,low,no,land,no
86,0.8038000000000001,-36.42175178232804,-6.8972972210853385,goodQA,highest,low,no,land,no
87,0.8225,-36.41269301820164,-6.8972972210853385,goodQA,highest,low,no,land,no
88,0.5119,-36.40363425407523,-6.8972972210853385,goodQA,decreasing1,low,no,land,no
89,0.7297,-36.394575489948814,-6.8972972210853385,goodQA,highest,low,no,land,no
90,0.6397,-36.3855167258224,-6.8972972210853385,goodQA,highest,low,no,land,no
91,0.5815,-36.37645796169599,-6.8972972210853385,goodQA,highest,low,no,land,no
92,0.5601,-36.49491526881312,-6.906290427007936,goodQA,highest,low,no,land,no
93,0.6942,-36.48585633257435,-6.906290427007936,goodQA,highest,low,no,land,no
94,0.6818000000000001,-36.476797396335584,-6.906290427007936,goodQA,highest,low,no,land,no
95,0.7751,-36.467738460096804,-6.906290427007936,goodQA,highest,low,no,land,no
96,0.7252000000000001,-36.45867952385804,-6.906290427007936,goodQA,highest,low,no,land,no
97,0.7887000000000001,-36.449620587619265,-6.906290427007936,goodQA,highest,low,no,land,no
98,0.7568,-36.44056165138049,-6.906290427007936,goodQA,highest,low,no,land,no
99,0.6910000000000001,-36.43150271514172,-6.906290427007936,goodQA,highest,low,no,land,no
100,0.7235,-36.42244377890294,-6.906290427007936,goodQA,highest,low,no,land,no
101,0.6504,-36.41338484266417,-6.906290427007936,regularQA,lower,intermediate,no,land,no
102,0.6895,-36.4043259064254,-6.906290427007936,goodQA,decreasing1,low,no,land,no
103,0.5092,-36.39526697018662,-6.906290427007936,regularQA,lower,intermediate,no,land,no
104,0.6361,-36.386208033947845,-6.906290427007936,goodQA,highest,low,no,land,no
105,0.6797000000000001,-36.37714909770908,-6.906290427007936,goodQA,highest,low,no,land,no
106,0.6239,-36.3680901614703,-6.906290427007936,goodQA,highest,low,no,land,no
107,0.7064,-36.48655045920521,-6.915283632930533,goodQA,highest,low,no,land,no
108,0.7051000000000001,-36.477491350624355,-6.915283632930533,goodQA,highest,low,no,land,no
109,0.6764,-36.46843224204348,-6.915283632930533,goodQA,highest,low,no,land,no
110,0.6633,-36.45937313346261,-6.915283632930533,goodQA,highest,low,no,land,no
111,0.6133000000000001,-36.45031402488174,-6.915283632930533,goodQA,highest,low,no,land,no
112,0.6528,-36.44125491630088,-6.915283632930533,goodQA,highest,low,no,land,no
113,0.6596000000000001,-36.432195807720014,-6.915283632930533,goodQA,highest,low,no,land,no
114,0.6183000000000001,-36.423136699139135,-6.915283632930533,goodQA,highest,low,no,land,no
115,0.6787000000000001,-36.41407759055827,-6.915283632930533,goodQA,highest,low,no,land,no
116,0.6359,-36.40501848197741,-6.915283632930533,goodQA,highest,low,no,land,no
117,0.6672,-36.395959373396536,-6.915283632930533,goodQA,highest,low,no,land,no
118,0.7018,-36.386900264815665,-6.915283632930533,goodQA,highest,low,no,land,no
119,0.6748000000000001,-36.37784115623481,-6.915283632930533,goodQA,highest,low,no,land,no
120,0.5816,-36.36878204765394,-6.915283632930533,goodQA,highest,low,no,land,no
121,0.64,-36.359722939073066,-6.915283632930533,goodQA,highest,low,no,land,no
122,0.8094,-36.487245511192526,-6.924276838853132,goodQA,highest,low,no,land,no
123,0.7488,-36.47818623003981,-6.924276838853132,goodQA,highest,low,no,land,no
124,0.6655,-36.469126948887094,-6.924276838853132,goodQA,highest,low,no,land,no
125,0.553,-36.46006766773438,-6.924276838853132,goodQA,highest,low,no,land,no
126,0.6132000000000001,-36.45100838658166,-6.924276838853132,goodQA,highest,low,no,land,no
127,0.7356,-36.44194910542895,-6.924276838853132,goodQA,highest,low,no,land,no
128,0.7857000000000001,-36.43288982427624,-6.924276838853132,goodQA,highest,low,no,land,no
129,0.6148,-36.423830543123515,-6.924276838853132,goodQA,highest,low,no,land,no
130,0.6077,-36.414771261970806,-6.924276838853132,goodQA,highest,low,no,land,no
131,0.5787,-36.40571198081809,-6.924276838853132,goodQA,highest,low,no,land,no
132,0.5027,-36.396652699665374,-6.924276838853132,goodQA,highest,low,no,land,no
133,0.5594,-36.38759341851266,-6.924276838853132,goodQA,highest,low,no,land,no
134,0.5899,-36.37853413735994,-6.924276838853132,goodQA,highest,low,no,land,no
135,0.6567000000000001,-36.369474856207226,-6.924276838853132,goodQA,highest,low,no,land,no
136,0.5728,-36.36041557505451,-6.924276838853132,goodQA,highest,low,no,land,no
137,0.5875,-36.351356293901794,-6.924276838853132,goodQA,highest,low,no,land,no
138,0.6445000000000001,-36.34229701274908,-6.924276838853132,goodQA,highest,low,no,land,no
139,0.7288,-36.47888203466907,-6.933270044775729,goodQA,highest,low,no,land,no
140,0.6742,-36.469822580714734,-6.933270044775729,goodQA,highest,low,no,land,no
141,0.6616000000000001,-36.4607631267604,-6.933270044775729,goodQA,highest,low,no,land,no
142,0.5399,-36.45170367280606,-6.933270044775729,goodQA,highest,low,no,land,no
143,0.5812,-36.44264421885172,-6.933270044775729,goodQA,highest,low,no,land,no
144,0.6667000000000001,-36.43358476489738,-6.933270044775729,goodQA,highest,low,no,land,no
145,0.5951000000000001,-36.42452531094304,-6.933270044775729,goodQA,highest,low,no,land,no
146,0.5686,-36.41546585698871,-6.933270044775729,goodQA,highest,low,no,land,no
147,0.5077,-36.406406403034374,-6.933270044775729,goodQA,highest,low,no,land,no
148,0.4751,-36.39734694908003,-6.933270044775729,goodQA,highest,low,no,land,no
149,0.4531,-36.388287495125695,-6.933270044775729,goodQA,highest,low,no,land,no
150,0.5744,-36.37922804117136,-6.933270044775729,goodQA,highest,low,no,land,no
151,0.5157,-36.370168587217016,-6.933270044775729,goodQA,highest,low,no,land,no
152,0.5702,-36.36110913326268,-6.933270044775729,goodQA,highest,low,no,land,no
153,0.6105,-36.352049679308344,-6.933270044775729,goodQA,highest,low,no,land,no
154,0.6105,-36.34299022535401,-6.933270044775729,goodQA,highest,low,no,land,no
155,0.6866,-36.33393077139967,-6.933270044775729,goodQA,highest,low,no,land,no
156,0.62,-36.47051913761361,-6.942263250698327,goodQA,highest,low,no,land,no
157,0.5442,-36.46145951062785,-6.942263250698327,goodQA,highest,low,no,land,no
158,0.5716,-36.452399883642094,-6.942263250698327,goodQA,highest,low,no,land,no
159,0.5856,-36.443340256656334,-6.942263250698327,goodQA,highest,low,no,land,no
160,0.6884,-36.43428062967058,-6.942263250698327,goodQA,highest,low,no,land,no
161,0.6362,-36.42522100268482,-6.942263250698327,goodQA,highest,low,no,land,no
162,0.6267,-36.41616137569906,-6.942263250698327,goodQA,highest,low,no,land,no
163,0.5759000000000001,-36.40710174871331,-6.942263250698327,goodQA,highest,low,no,land,no
164,0.5750000000000001,-36.39804212172755,-6.942263250698327,goodQA,highest,low,no,land,no
165,0.5938,-36.388982494741796,-6.942263250698327,goodQA,highest,low,no,land,no
166,0.5612,-36.379922867756044,-6.942263250698327,goodQA,highest,low,no,land,no
167,0.524,-36.37086324077028,-6.942263250698327,goodQA,highest,low,no,land,no
168,0.6538,-36.361803613784524,-6.942263250698327,goodQA,highest,low,no,land,no
169,0.504,-36.352743986798764,-6.942263250698327,goodQA,highest,low,no,land,no
170,0.4899,-36.34368435981301,-6.942263250698327,goodQA,highest,low,no,land,no
171,0.5768,-36.47121661967105,-6.951256456620926,goodQA,highest,low,no,land,no
172,0.5208,-36.46215681942405,-6.951256456620926,goodQA,highest,low,no,land,no
173,0.4963,-36.453097019177065,-6.951256456620926,goodQA,highest,low,no,land,no
174,0.5327000000000001,-36.444037218930056,-6.951256456620926,goodQA,highest,low,no,land,no
175,0.5813,-36.43497741868307,-6.951256456620926,goodQA,highest,low,no,land,no
176,0.6773,-36.425917618436074,-6.951256456620926,goodQA,highest,low,no,land,no
177,0.6612,-36.41685781818908,-6.951256456620926,goodQA,highest,low,no,land,no
178,0.7142000000000001,-36.40779801794209,-6.951256456620926,goodQA,highest,low,no,land,no
179,0.6775,-36.39873821769509,-6.951256456620926,goodQA,highest,low,no,land,no
180,0.6008,-36.3896784174481,-6.951256456620926,goodQA,highest,low,no,land,no
181,0.5169,-36.38061861720111,-6.951256456620926,goodQA,highest,low,no,land,no
182,0.5419,-36.37155881695411,-6.951256456620926,goodQA,highest,low,no,land,no
183,0.5533,-36.36249901670712,-6.951256456620926,goodQA,highest,low,no,land,no
184,0.7893,-36.35343921646012,-6.951256456620926,goodQA,highest,low,no,land,no
185,0.6057,-36.4719150269745,-6.960249662543523,goodQA,highest,low,no,land,no
186,0.5629000000000001,-36.46285505323643,-6.960249662543523,goodQA,highest,low,no,land,no
187,0.5313,-36.45379507949836,-6.960249662543523,goodQA,highest,low,no,land,no
188,0.558,-36.44473510576029,-6.960249662543523,goodQA,highest,low,no,land,no
189,0.5855,-36.43567513202222,-6.960249662543523,goodQA,highest,low,no,land,no
190,0.5644,-36.42661515828414,-6.960249662543523,goodQA,highest,low,no,shorelines,no
191,0.5368,-36.417555184546075,-6.960249662543523,goodQA,highest,low,no,shorelines,no
192,0.6189,-36.408495210808,-6.960249662543523,goodQA,highest,low,no,land,no
193,0.5464,-36.39943523706992,-6.960249662543523,goodQA,highest,low,no,land,no
194,0.5782,-36.390375263331855,-6.960249662543523,goodQA,highest,low,no,land,no
195,0.5918,-36.381315289593786,-6.960249662543523,goodQA,highest,low,no,land,no
196,0.6153000000000001,-36.37225531585572,-6.960249662543523,goodQA,highest,low,no,land,no
197,0.6691,-36.36319534211765,-6.960249662543523,goodQA,highest,low,no,land,no
198,0.5755,-36.46355421215253,-6.969242868466121,goodQA,highest,low,no,land,no
199,0.5748,-36.45449406469352,-6.969242868466121,goodQA,highest,low,no,land,no
200,0.6327,-36.4454339172345,-6.969242868466121,goodQA,highest,low,no,land,no
201,0.6214000000000001,-36.4363737697755,-6.969242868466121,goodQA,highest,low,no,land,no
202,0.7471,-36.42731362231648,-6.969242868466121,goodQA,highest,low,no,shorelines,no
203,0.7218,-36.41825347485747,-6.969242868466121,goodQA,highest,low,no,shorelines,no
204,0.4956,-36.40919332739846,-6.969242868466121,goodQA,highest,low,no,shorelines,no
205,0.5268,-36.40013317993945,-6.969242868466121,goodQA,highest,low,no,land,no
206,0.5606,-36.39107303248044,-6.969242868466121,goodQA,lower,low,yes,land,no
207,0.6283000000000001,-36.38201288502144,-6.969242868466121,goodQA,highest,low,no,land,no
208,0.6442,-36.37295273756242,-6.969242868466121,goodQA,highest,low,no,land,no
209,0.5999,-36.464254296260016,-6.978236074388719,goodQA,highest,low,no,land,no
210,0.7218,-36.45519397485018,-6.978236074388719,goodQA,highest,low,no,land,no
211,0.7248,-36.44613365344035,-6.978236074388719,goodQA,highest,low,no,land,no
212,0.671,-36.43707333203052,-6.978236074388719,goodQA,highest,low,no,land,no
213,0.5506,-36.42801301062068,-6.978236074388719,goodQA,highest,low,no,shorelines,no
214,0.7562,-36.418952689210855,-6.978236074388719,goodQA,highest,low,no,shorelines,no
215,0.5938,-36.40989236780102,-6.978236074388719,goodQA,highest,low,no,shorelines,no
216,0.771,-36.40083204639119,-6.978236074388719,goodQA,highest,low,no,land,no
217,0.5889,-36.39177172498135,-6.978236074388719,goodQA,lower,low,yes,land,no
218,0.6312,-36.464955305646676,-6.9872292803113165,goodQA,highest,low,no,land,no
219,0.6504,-36.45589481005612,-6.9872292803113165,goodQA,highest,low,no,land,no
220,0.7155,-36.446834314465555,-6.9872292803113165,goodQA,highest,low,no,land,no
221,0.7117,-36.437773818875,-6.9872292803113165,goodQA,highest,low,no,shorelines,no
222,0.6473,-36.428713323284434,-6.9872292803113165,goodQA,decreasing1,low,no,shorelines,no
223,0.6582,-36.41965282769388,-6.9872292803113165,regularQA,decreasing4,correction,yes,shorelines,no
224,0.6858000000000001,-36.41059233210331,-6.9872292803113165,goodQA,decreasing2,low,yes,land,no
225,0.6948000000000001,-36.401531836512746,-6.9872292803113165,goodQA,lower,low,yes,land,no
226,0.7231000000000001,-36.45659657039921,-6.996222486233915,goodQA,highest,low,no,land,no
227,0.6414000000000001,-36.42941456039556,-6.996222486233915,goodQA,decreasing1,low,no,land,no
