system:index,NDVI,longitude,latitud,QA_general,QA_usefulness,QA_aerosol,QA_adjacent_cloud,QA_water
117,0.6557000000000001,-36.395959373396536,-6.915283632930533,cloudy,decreasing2,correction,no,land
118,0.6733,-36.386900264815665,-6.915283632930533,cloudy,decreasing2,correction,no,land
119,0.7984,-36.37784115623481,-6.915283632930533,regularQA,decreasing4,intermediate,yes,land
120,0.5735,-36.36878204765394,-6.915283632930533,goodQA,highest,low,no,land
121,0.5944,-36.359722939073066,-6.915283632930533,goodQA,highest,low,no,land
122,0.8875000000000001,-36.487245511192526,-6.924276838853132,regularQA,decreasing4,intermediate,yes,land
123,0.6504,-36.47818623003981,-6.924276838853132,cloudy,decreasing1,correction,no,land
124,0.7386,-36.469126948887094,-6.924276838853132,regularQA,decreasing1,intermediate,yes,land
125,0.6757000000000001,-36.46006766773438,-6.924276838853132,regularQA,decreasing1,intermediate,yes,land
126,0.6102000000000001,-36.45100838658166,-6.924276838853132,regularQA,decreasing3,intermediate,yes,land
127,0.6198,-36.44194910542895,-6.924276838853132,regularQA,decreasing5,high,yes,land
128,0.5983,-36.43288982427624,-6.924276838853132,regularQA,decreasing5,high,yes,land
129,0.5654,-36.423830543123515,-6.924276838853132,regularQA,decreasing3,high,yes,land
130,0.5654,-36.414771261970806,-6.924276838853132,regularQA,decreasing3,high,yes,land
131,0.7112,-36.40571198081809,-6.924276838853132,cloudy,decreasing7,high,yes,land
132,0.6753,-36.396652699665374,-6.924276838853132,regularQA,decreasing4,high,yes,land
133,0.6511,-36.38759341851266,-6.924276838853132,regularQA,decreasing2,intermediate,yes,land
134,0.6431,-36.37853413735994,-6.924276838853132,regularQA,decreasing2,intermediate,yes,land
135,0.6940000000000001,-36.369474856207226,-6.924276838853132,regularQA,decreasing2,intermediate,yes,land
136,0.7986000000000001,-36.36041557505451,-6.924276838853132,regularQA,decreasing4,intermediate,yes,land
137,0.6368,-36.351356293901794,-6.924276838853132,regularQA,lower,intermediate,no,land
138,0.6938000000000001,-36.34229701274908,-6.924276838853132,goodQA,highest,low,no,land
139,0.7035,-36.47888203466907,-6.933270044775729,regularQA,decreasing5,high,yes,land
140,0.6695,-36.469822580714734,-6.933270044775729,regularQA,decreasing3,intermediate,yes,land
141,0.6723,-36.4607631267604,-6.933270044775729,regularQA,decreasing3,intermediate,yes,land
142,0.4914,-36.45170367280606,-6.933270044775729,regularQA,decreasing3,intermediate,yes,land
143,0.6198,-36.44264421885172,-6.933270044775729,regularQA,decreasing5,high,yes,land
144,0.6289,-36.43358476489738,-6.933270044775729,regularQA,decreasing3,high,yes,land
145,0.5937,-36.42452531094304,-6.933270044775729,regularQA,decreasing1,intermediate,yes,land
146,0.6166,-36.41546585698871,-6.933270044775729,regularQA,decreasing3,high,yes,land
147,0.6421,-36.406406403034374,-6.933270044775729,regularQA,decreasing3,intermediate,yes,land
148,0.657,-36.39734694908003,-6.933270044775729,regularQA,decreasing4,high,yes,land
149,0.5343,-36.388287495125695,-6.933270044775729,regularQA,decreasing4,high,yes,land
150,0.5515,-36.37922804117136,-6.933270044775729,regularQA,decreasing2,intermediate,yes,land
151,0.6219,-36.370168587217016,-6.933270044775729,regularQA,decreasing2,intermediate,yes,land
152,0.5494,-36.36110913326268,-6.933270044775729,cloudy,decreasing3,intermediate,no,land
153,0.6218,-36.352049679308344,-6.933270044775729,goodQA,highest,low,no,land
154,0.6282,-36.34299022535401,-6.933270044775729,goodQA,highest,low,no,land
155,0.6896,-36.33393077139967,-6.933270044775729,goodQA,highest,low,no,land
156,0.6271,-36.47051913761361,-6.942263250698327,regularQA,decreasing4,intermediate,yes,land
157,0.6749,-36.46145951062785,-6.942263250698327,regularQA,decreasing3,intermediate,yes,land
158,0.3651,-36.452399883642094,-6.942263250698327,cloudy,decreasing2,correction,no,land
159,0.1859,-36.443340256656334,-6.942263250698327,cloudy,decreasing2,correction,no,shorelines
160,0.7403000000000001,-36.43428062967058,-6.942263250698327,regularQA,decreasing3,intermediate,yes,land
161,0.6509,-36.42522100268482,-6.942263250698327,regularQA,decreasing1,intermediate,yes,land
162,0.687,-36.41616137569906,-6.942263250698327,regularQA,decreasing1,intermediate,yes,land
163,0.5271,-36.40710174871331,-6.942263250698327,regularQA,decreasing1,intermediate,yes,land
164,0.4416,-36.39804212172755,-6.942263250698327,cloudy,decreasing1,correction,no,land
165,0.6062000000000001,-36.388982494741796,-6.942263250698327,regularQA,decreasing3,intermediate,yes,land
166,0.5333,-36.379922867756044,-6.942263250698327,cloudy,decreasing4,intermediate,yes,land
167,0.5739000000000001,-36.37086324077028,-6.942263250698327,cloudy,decreasing3,intermediate,no,land
168,0.6148,-36.361803613784524,-6.942263250698327,regularQA,lower,intermediate,no,land
169,0.6091,-36.352743986798764,-6.942263250698327,regularQA,lower,intermediate,no,land
170,0.5481,-36.34368435981301,-6.942263250698327,regularQA,lower,intermediate,no,land
171,0.5491,-36.47121661967105,-6.951256456620926,regularQA,decreasing4,intermediate,yes,land
172,0.5137,-36.46215681942405,-6.951256456620926,regularQA,decreasing3,intermediate,yes,land
173,0.5301,-36.453097019177065,-6.951256456620926,cloudy,decreasing8,high,yes,land
174,0.5799000000000001,-36.444037218930056,-6.951256456620926,regularQA,decreasing3,intermediate,yes,land
175,0.5324,-36.43497741868307,-6.951256456620926,regularQA,decreasing3,intermediate,yes,land
176,0.7305,-36.425917618436074,-6.951256456620926,regularQA,decreasing1,intermediate,yes,land
177,0.7355,-36.41685781818908,-6.951256456620926,regularQA,decreasing1,intermediate,yes,land
178,0.5119,-36.40779801794209,-6.951256456620926,regularQA,decreasing1,intermediate,yes,land
179,0.6354000000000001,-36.39873821769509,-6.951256456620926,regularQA,decreasing5,high,yes,land
180,0.6485000000000001,-36.3896784174481,-6.951256456620926,regularQA,decreasing1,intermediate,yes,land
181,0.5123,-36.38061861720111,-6.951256456620926,cloudy,decreasing4,intermediate,yes,land
182,0.5449,-36.37155881695411,-6.951256456620926,regularQA,decreasing1,intermediate,yes,land
183,0.6148,-36.36249901670712,-6.951256456620926,regularQA,lower,intermediate,no,land
184,0.6443,-36.35343921646012,-6.951256456620926,regularQA,lower,intermediate,no,land
185,0.6384000000000001,-36.4719150269745,-6.960249662543523,regularQA,decreasing2,intermediate,yes,land
186,0.6013000000000001,-36.46285505323643,-6.960249662543523,regularQA,decreasing3,intermediate,yes,land
187,0.5688,-36.45379507949836,-6.960249662543523,regularQA,decreasing3,intermediate,yes,land
188,0.5903,-36.44473510576029,-6.960249662543523,regularQA,decreasing3,intermediate,yes,land
189,0.5407000000000001,-36.43567513202222,-6.960249662543523,regularQA,decreasing3,intermediate,yes,land
190,0.3626,-36.42661515828414,-6.960249662543523,cloudy,decreasing1,correction,no,shorelines
191,0.6146,-36.417555184546075,-6.960249662543523,cloudy,decreasing2,correction,no,shorelines
192,0.617,-36.408495210808,-6.960249662543523,cloudy,decreasing2,correction,no,shorelines
193,0.5431,-36.39943523706992,-6.960249662543523,regularQA,decreasing1,intermediate,yes,land
194,0.5672,-36.390375263331855,-6.960249662543523,regularQA,decreasing1,intermediate,yes,land
195,0.5776,-36.381315289593786,-6.960249662543523,regularQA,decreasing1,intermediate,yes,land
196,0.5816,-36.37225531585572,-6.960249662543523,regularQA,decreasing1,intermediate,yes,land
197,0.7388,-36.36319534211765,-6.960249662543523,regularQA,decreasing1,intermediate,yes,land
198,0.5884,-36.46355421215253,-6.969242868466121,cloudy,decreasing2,correction,no,land
199,0.6527000000000001,-36.45449406469352,-6.969242868466121,regularQA,decreasing3,intermediate,yes,land
200,0.6574,-36.4454339172345,-6.969242868466121,regularQA,decreasing3,intermediate,yes,land
201,0.3853,-36.4363737697755,-6.969242868466121,cloudy,decreasing1,correction,no,shorelines
202,0.5425,-36.42731362231648,-6.969242868466121,cloudy,decreasing2,correction,no,shorelines
203,0.7393000000000001,-36.41825347485747,-6.969242868466121,cloudy,decreasing1,correction,no,shorelines
204,0.6498,-36.40919332739846,-6.969242868466121,cloudy,decreasing1,correction,no,shorelines
205,0.7069000000000001,-36.40013317993945,-6.969242868466121,regularQA,decreasing1,intermediate,yes,land
206,0.657,-36.39107303248044,-6.969242868466121,regularQA,decreasing1,intermediate,yes,land
207,0.7837000000000001,-36.38201288502144,-6.969242868466121,goodQA,lower,low,yes,land
208,0.7024,-36.37295273756242,-6.969242868466121,regularQA,decreasing4,intermediate,yes,land
209,0.3647,-36.464254296260016,-6.978236074388719,cloudy,decreasing1,correction,no,land
210,0.7731,-36.45519397485018,-6.978236074388719,regularQA,decreasing3,intermediate,yes,land
211,0.729,-36.44613365344035,-6.978236074388719,regularQA,decreasing3,intermediate,yes,land
212,0.3348,-36.43707333203052,-6.978236074388719,cloudy,decreasing2,correction,no,shorelines
213,0.6526000000000001,-36.42801301062068,-6.978236074388719,cloudy,decreasing2,correction,no,shorelines
214,0.4754,-36.418952689210855,-6.978236074388719,cloudy,decreasing2,correction,no,shorelines
215,0.6033000000000001,-36.40989236780102,-6.978236074388719,cloudy,decreasing2,correction,no,shorelines
216,0.7688,-36.40083204639119,-6.978236074388719,regularQA,decreasing1,intermediate,yes,land
217,0.7147,-36.39177172498135,-6.978236074388719,regularQA,decreasing1,intermediate,yes,land
218,0.3917,-36.464955305646676,-6.9872292803113165,cloudy,decreasing1,correction,no,land
219,0.7169,-36.45589481005612,-6.9872292803113165,regularQA,decreasing3,intermediate,yes,land
220,0.6721,-36.446834314465555,-6.9872292803113165,regularQA,decreasing3,intermediate,yes,land
221,0.1398,-36.437773818875,-6.9872292803113165,cloudy,decreasing4,correction,no,shorelines
222,0.6756,-36.428713323284434,-6.9872292803113165,cloudy,decreasing1,correction,no,shorelines
223,0.6798000000000001,-36.41965282769388,-6.9872292803113165,cloudy,decreasing2,correction,no,shorelines
224,0.5158,-36.41059233210331,-6.9872292803113165,cloudy,decreasing1,correction,no,shorelines
225,0.6903,-36.401531836512746,-6.9872292803113165,cloudy,decreasing2,correction,no,shorelines
226,0.7701,-36.45659657039921,-6.996222486233915,regularQA,decreasing3,intermediate,yes,land
227,0.6334000000000001,-36.42941456039556,-6.996222486233915,regularQA,decreasing3,intermediate,yes,land
